Old URL,New URL,Redirect Type,Redirect Status,Notes
/gigi,https://sailorskills.notion.site/GiGi-Service-Log-bf3369255e304ca7a5d2e59e48226f8c,Single Redirect,Active,
/risky,https://sailorskills.notion.site/Risky-Service-Log-1f9b82b7eacc81bf86defb6b8f482d86?pvs=4,Single Redirect,Active,
/copy-of-detailing-2,/,Single Redirect,Active,
/two-truths,https://sailorskills.notion.site/Two-Truths-Service-Log-5312a2de79e5433a93eaba25891ed25f,Single Redirect,Active,
/raindancer-ii,https://sailorskills.notion.site/Raindancer-II-Service-Log-2bab82b7eacc81289a12def2abb1895c?source=copy_link,Single Redirect,Active,
/vroom,https://sailorskills.notion.site/Vroom-8941dfd70e16430ab0f8d7e3534c89b6,Single Redirect,Active,
/snappy,https://sailorskills.notion.site/Snappy-Service-Log-235b82b7eacc80cab428cc6ee8249333?source=copy_link,Single Redirect,Active,
/pohono,https://sailorskills.notion.site/Brian-729896adfca647f9b7787da69c9c75e1,Single Redirect,Active,
/rivers-end,https://sailorskills.notion.site/River-s-End-Service-Log-d0c3e43fa80c4e689f30077e6b9c5cea,Single Redirect,Active,
/ramble-on,https://sailorskills.notion.site/Ramble-On-Service-Log-248b82b7eacc81eaae02e5ebd62b2056,Single Redirect,Active,
/halo,https://sailorskills.notion.site/Halo-Service-Log-f4ae63eb1ead4ac9a5a4edff4bd19faa?pvs=4,Single Redirect,Active,
/martha,https://sailorskills.notion.site/Martha-Service-Log-4c1c06212f4b4d22be6e092f30f5fa82?pvs=4,Single Redirect,Active,
/que-sera-sera,https://sailorskills.notion.site/Que-Sera-Sera-Service-Log-122b82b7eacc81978504c7de7bb9d7b6?pvs=4,Single Redirect,Active,
/get-smart,https://sailorskills.notion.site/Get-Smart-Service-Log-eebe36df2b394bd1b29b76db52323507,Single Redirect,Active,
/sky-wanderer,https://sailorskills.notion.site/Sky-Wanderer-Service-Log-6507894e8f7c4c8385aa3bb469162507,Single Redirect,Active,
/copy-of-detailing-1,/deliveries,Single Redirect,Active,
/blue-note,https://sailorskills.notion.site/Blue-Note-12750690f460454984e0b9a0024ab0f4,Single Redirect,Active,
/copy-of-detailing,/training,Single Redirect,Active,
/copy-of-faq,/tos,Single Redirect,Active,
/boatwise,https://boatwise.vercel.app,Single Redirect,Active,
/la-donna-jean,https://sailorskills.notion.site/La-Donna-Jean-Service-Log-227f1aca5b91445b908b063a4308ce0d,Single Redirect,Active,
/leanne-g,https://sailorskills.notion.site/Leanne-G-e55b5f73a9e74601bc95dddb80b01fe0,Single Redirect,Active,
/jgpc,https://sailorskills.notion.site/JGPCService-Log-cbf18a19988f49d7bbea2fad368eeac5?pvs=4,Single Redirect,Active,
/papillon,https://sailorskills.notion.site/Papillon-827794577570401fa6956a1a55359717,Single Redirect,Active,
/recommendations,https://sailorskills.notion.site/Recommendations-and-Resources-87574c5a0b4d4954947a3170e76dd904,Single Redirect,Active,
/shirley-jean,https://sailorskills.notion.site/Shirley-Jean-Service-Log-145b82b7eacc81af9de8d5039f868a83?pvs=4,Single Redirect,Active,
/louisa,https://sailorskills.notion.site/Louisa-Service-Log-d143b254c2ec439f9f103b7084d4c8d2?pvs=4,Single Redirect,Active,
/sartori,https://sailorskills.notion.site/Sartori-Service-Log-579b49eece2d46909d72a7c1eb527d0d,Single Redirect,Active,
/wu-wei,https://sailorskills.notion.site/Darlene-Dylan-cde8fbe4276c45e3a41d91d92091683b,Single Redirect,Active,
/alsagar,https://sailorskills.notion.site/Alsagar-f92178c2be2942a09305b0e2b8768ec8,Single Redirect,Active,
/heart-of-gold,https://sailorskills.notion.site/Heart-of-Gold-Service-Log-57c7e9298d50414ca8e80b368f810023,Single Redirect,Active,
/omega,https://sailorskills.notion.site/Omega-Service-Log-2e6b82b7eacc8146a83cdabfbef14c1d?source=copy_link,Single Redirect,Active,
/bookings-checkout,/service-page/,Group Redirect,Active,
/tuatara,https://sailorskills.notion.site/Tuatara-Service-Log-e34c0de3fd75411bb61f846b3b55eeef,Single Redirect,Active,
/dream-catcher,https://sailorskills.notion.site/Dream-Catcher-3271a10a39054304ac9460ebcebd6df4,Single Redirect,Active,
/faq,/training/faq,Single Redirect,Active,
/parallax,https://sailorskills.notion.site/Parallax-Service-Log-20b60d79320d4032b35498a849fa8b82?pvs=4,Single Redirect,Active,
/wicked,https://sailorskills.notion.site/Wicked-Service-Log-35efaa995c6e48e1a3d27fa5ea1b6ee9?pvs=4,Single Redirect,Active,
/plans,/services,Single Redirect,Active,
/chew-toy,https://sailorskills.notion.site/Chew-Toy-Service-Log-18fec7c4742c4ee5ba05e92b5786a3b9?pvs=4,Single Redirect,Active,
/bennu,https://sailorskills.notion.site/Bennu-42eec4a8ec704df1b10de2b2c52a414d,Single Redirect,Active,
/renegade,https://sailorskills.notion.site/Renegade-Service-Log-192b82b7eacc81b79ea7cdb95c9f474c?pvs=4,Single Redirect,Active,
/tandem,https://sailorskills.notion.site/Tandem-0fb066f66ce84d64a343e854713e4cfd,Single Redirect,Active,
/boondoggle,https://sailorskills.notion.site/Boondoggle-Service-Log-1b6b82b7eacc8046bfd1c78bc5a55341?pvs=4,Single Redirect,Active,
/truth-and-culture,https://sailorskills.notion.site/Truth-and-Consequences-Service-Log-57e3c43f48154465862704a698728e9e?pvs=4,Single Redirect,Active,
/tao,https://sailorskills.notion.site/Tao-Service-Log-2cc9dc8391f041f98194480ace6fb7c7?pvs=4,Single Redirect,Active,
/genesis,https://sailorskills.notion.site/Genesis-ef318cfe2d81496a910b3a042b0144a1,Single Redirect,Active,
